,asin,rating,title,title_len,vote,summary_len,category_count,review_count,verified_true_ratio,also_buy_count,also_view_count,brand,main_cat,price,rankElectronics,review_text_len,percentage_positive
0,B00000J1EI,4.428571428571429,"Maxell GX-MP 120 Camcorder tapes, 3 Pack",7,,2,7,7,1.0,7,7,Maxell,Home Audio & Theater,35.89,15985.0,7.571428571428571,0.8571428571428571
1,B00000JD3C,4.333333333333333,Sony 3MC-60B Microcassette - 3 Pack,6,7.0,2,18,18,1.0,18,18,Sony,Home Audio & Theater,8.95,8344.0,21.11111111111111,0.7222222222222222
2,B00000JD4T,4.0,ETON G2000A AM/FM Shortwave Radio (Discontinued by Manufacturer),8,3.0,5,2,2,0.0,2,2,Eton,Home Audio & Theater,7.69,186267.0,149.5,1.0
3,B00000JMRV,4.2,Grundig M100 Portable Radio (Discontinued by Manufacturer),7,,5,5,5,0.4,5,5,Eton,Home Audio & Theater,7.67,142184.0,40.6,0.6
4,B00000JMRX,2.5,ETON YB300PE AM/FM Shortwave Radio (Discontinued by Manufacturer),8,,2,2,2,0.0,2,2,Eton,Home Audio & Theater,7.69,509371.0,259.5,0.0
5,B00000JYVT,5.0,Olympus V-90 Digital Voice Recorder,5,,5,1,1,1.0,1,1,Olympus,All Electronics,9.58,490253.0,6.0,1.0
6,B00000K3RC,3.0,Sony SRFM70 Sports Walkman Digital AM/FM Stereo Radio,8,2.0,2,5,5,0.8,5,5,Sony,Home Audio & Theater,12.48,148086.0,15.4,0.4
7,B00001OPJV,3.6666666666666665,TEAC W-600R Dual Full-Logic Cassette (Discontinued by Manufacturer),8,,2,3,3,1.0,3,3,Teac,Home Audio & Theater,95.0,283440.0,33.333333333333336,0.6666666666666666
8,B00001XE0A,4.8,Sony TC-WE435 Dual Cassette Deck (Discontinued by Manufacturer),8,3.0,2,5,5,1.0,5,5,Sony,Home Audio & Theater,99.0,166579.0,102.4,0.8
9,B00001Z3H8,4.384615384615385,Sony SRFHM55 Sports Walkman AM/FM Stereo Headphone Radio,8,3.0,6,13,13,0.6153846153846154,13,13,Sony,Home Audio & Theater,12.97,99880.0,72.53846153846153,0.6923076923076923
10,B00001ZT4H,4.8,Sony TCM-929 Pressman Desktop Cassette Recorder with Automatic Shut-Off,9,2.3333333333333335,2,10,10,0.8,10,10,Sony,Home Audio &amp; Theater,7.66,47340.0,54.8,1.0
11,B00001ZUHX,3.0,Sony M-100MC Microcassette Recorder with Voice Operated Recording,8,,2,4,4,1.0,4,4,Sony,All Electronics,9.27,256173.0,14.75,0.5
12,B0000222MY,3.6666666666666665,Sangean DT-300-VW Pocket-Sized Digital Radio with Tuner (Discontinued by Manufacturer),10,,2,3,3,0.6666666666666666,3,3,Sangean,Home Audio & Theater,10.06,787781.0,66.0,0.6666666666666666
13,B0000228GF,3.869565217391304,Sangean SG-622 FM/MW / SW 1-10 Compact 12 Band World Receiver,11,3.6666666666666665,5,23,23,0.782608695652174,23,23,Sangean,Home Audio & Theater,1.85,66672.0,83.04347826086956,0.6521739130434783
14,B0000228GG,5.0,Sangean ATS-909 All Band Digital Shortwave World Band Receiver (Discontinued by Manufacturer),12,,10,4,4,0.5,4,4,Sangean,Home Audio &amp; Theater,14.17,697747.0,220.75,1.0
15,B00004T1XE,4.033980582524272,"Panasonic RF-P50 Pocket AM/FM Radio, Silver (Discontinued by Manufacturer)",9,5.565217391304348,5,206,206,0.9805825242718447,206,206,Panasonic,Home Audio & Theater,2.0,11085.0,45.22330097087379,0.7475728155339806
16,B00004T1XK,4.276595744680851,Panasonic RQ2102 Cassette Recorder,4,5.315789473684211,1,94,94,0.8829787234042553,94,94,Panasonic,All Electronics,11.38,17896.0,49.148936170212764,0.8191489361702128
17,B00004TKLW,5.0,Apex AD-600A DVD Player,4,,11,1,1,0.0,1,1,Apex,All Electronics,51.49,584194.0,20.0,1.0
18,B00004U8R5,3.8,HH Scott SCR120 E-Z Set TM Clock Radio (Silver Metallic) (Discontinued by Manufacturer),13,2.0,4,5,5,0.8,5,5,H.H. Scott,Home Audio & Theater,2.0,197517.0,45.8,0.6
19,B00004VWGK,4.2,Sony TC-WE305 Dual Cassette Deck (Discontinued by Manufacturer),8,3.75,2,10,10,0.7,10,10,Sony,Home Audio & Theater,81.55,123501.0,63.0,0.8
20,B00004VXN2,4.75,Olympus J500 Microcassette Recorder,4,,2,4,4,0.5,4,4,Olympus,All Electronics,12.01,187299.0,61.25,1.0
21,B00004YJYT,4.0,Panasonic RR930 Panasonic Microcassette Transcriber/Recorder,5,4.0,4,11,11,1.0,11,11,Panasonic,All Electronics,18.97,60709.0,16.818181818181817,0.8181818181818182
22,B00004YK2X,5.0,Panasonic RR-830 Desktop Cassette Transcriber / Recorder,7,5.0,2,4,4,1.0,4,4,Panasonic,All Electronics,80.27,78761.0,54.25,1.0
23,B00004Z7H5,3.75,Command Communications Comswitch 5500 3-Port Phone/Fax Modem Line Sharing Device,10,3.0,10,8,8,1.0,8,8,Command Communications,All Electronics,4.34,146031.0,97.625,0.75
24,B00005111L,4.739130434782608,"Tripp Lite 8 Outlet Bench &amp; Cabinet Power Strip, 24 in. Length, 15ft Cord with 5-15P Plug (PS2408)",18,6.909090909090909,1,92,92,0.9891304347826086,92,92,Tripp Lite,Home Audio &amp; Theater,2.0,11220.0,56.119565217391305,0.9347826086956522
25,B00005115S,4.609053497942387,"Tripp Lite 12 Outlet Bench &amp; Cabinet Power Strip, 36 in. Length, 15ft Cord with 5-15P Plug (PS3612)",18,6.416666666666667,2,243,243,0.9794238683127572,243,243,Tripp Lite,All Electronics,2.0,24014.0,42.49382716049383,0.9218106995884774
26,B000051174,4.782051282051282,"Tripp Lite 16 Outlet Bench &amp; Cabinet Power Strip, 48 in. Length, 15ft Cord with 5-15P Plug (PS4816)",18,8.3,2,156,156,0.9487179487179487,156,156,Tripp Lite,Home Audio & Theater,42.46,10796.0,70.05128205128206,0.9166666666666666
27,B0000512E1,4.352941176470588,"Tripp Lite 6 Outlet Under-Monitor Isobar Surge Protector Power Strip, 2 USB, 8ft Cord, Tel/Modem/Fax Protection, RJ11, $100,000 INSURANCE (MT-6PLUS)",20,4.714285714285714,5,51,51,0.9803921568627451,51,51,Tripp Lite,Home Audio & Theater,4.42,23618.0,60.78431372549019,0.8431372549019608
28,B0000513AU,4.5,"Tripp Lite 6 Outlet Surge Protector Power Strip, 6ft Cord, Right-Angle Plug, $50,000 INSURANCE (TR-6)",15,3.75,5,10,10,1.0,10,10,Tripp Lite,Home Audio & Theater,2.0,32756.0,57.7,0.9
29,B000053ZF1,5.0,Sony SRF-H3 Walkman AM/FM Stereo Headphone Radio (Discontinued by Manufacturer),10,,2,3,3,1.0,3,3,Sony,Home Audio &amp; Theater,10.59,181573.0,6.0,1.0
30,B000056Q1H,5.0,Best Data Products CMX110 Smart One High Speed Broadband Cable Modem,11,,6,1,1,1.0,1,1,Best Data,All Electronics,2.19,1292905.0,56.0,1.0
31,B00005AY7G,4.027027027027027,Pyle Portable DVD CD Player - 14 Inch High Resolution TFT Swivel Angle Foldable Display Screen Built-In Rechargeable Battery USB/SD Card Readers 32GB Memory &amp; Multimedia Support W/ Remote Control - PDH14,32,15.548387096774194,4,111,111,0.954954954954955,111,111,Pyle,All Electronics,3.76,16988.0,72.32432432432432,0.7387387387387387
32,B00005KC6B,5.0,SONY DVP-NS300/B DVD Video Player (Black),6,,9,1,1,0.0,1,1,Sony,All Electronics,34.99,244093.0,59.0,0.0
33,B00005M00O,1.0,Olympus DM-1 Voice and MP3 Recorder with WOW! Technology,9,,1,1,1,1.0,1,1,Olympus,All Electronics,38.7,508680.0,31.0,0.0
34,B00005NNDF,4.25,Sony WM-FX281 Cassette Walkman with Digital Tuner,7,5.0,1,8,8,0.875,8,8,Sony,Home Audio & Theater,13.3,79386.0,74.375,0.625
35,B00005NOKT,4.0,Netgear MR314 802.11b Wireless Cable/DSL Router with 4-Port Switch,9,,2,2,2,1.0,2,2,NETGEAR,All Electronics,3.8,547496.0,5.0,0.5
36,B00005O7CS,4.333333333333333,Sony DSJ15 Portable CD Walkman,5,7.5,2,6,6,1.0,6,6,Sony,Home Audio &amp; Theater,45.0,57411.0,49.666666666666664,0.6666666666666666
37,B00005T3BD,4.6900958466453675,"Polk Audio RC60i 2-way Premium In-Ceiling 6.5&quot; Round Speakers, Set of 2 Perfect for Damp and Humid Indoor/Outdoor Placement - Bath, Kitchen, Covered Porches (White, Paintable Grille)",27,6.2894736842105265,2,313,313,0.952076677316294,313,313,Polk Audio,Home Audio & Theater,3.78,3609.0,60.153354632587856,0.9616613418530351
38,B00005T3C8,4.687203791469194,"Polk Audio RC65i 2-way Premium In-Wall 6.5&quot; Speakers, Pair of 2 Perfect for Damp and Humid Indoor/Outdoor Placement - Bath, Kitchen, Covered Porches (White, Paintable Grille)",26,4.303030303030303,10,211,211,0.957345971563981,211,211,Polk Audio,Home Audio & Theater,7.67,7648.0,59.51184834123223,0.95260663507109
39,B00005T3V5,4.6,Sony D-FS18 Portable CD Player,5,2.6666666666666665,4,5,5,0.8,5,5,Sony,Home Audio & Theater,60.0,188937.0,36.4,1.0
