,title,Brand,title_lemm,textblob
0,Apple Arcade expands its award-winning catalog to more than 180 games,apple,apple arcade expands award win catalog game,0.2
1,iPhone 13 release date: This is when Apple will likely unveil its next phones,apple,iphone release date apple likely unveil next phone,0.0
2,Sharks’ Erik Karlsson’s epic postgame apple is now a teeshirt,apple,shark erik karlsson epic postgame apple teeshirt,0.1
3,Apple powers ahead in new renewable energy solutions with over 110 suppliers,apple,apple power ahead new renewable energy solution supplier,0.13636363636363635
4,Apple switches off the ‘open web’ by making it better,apple,apple switch open web make well,0.0
5,This week's best deals: $50 off Apple's MacBook Air M1 and more,apple,week best deal apple macbook air,1.0
6,"Apple just lost a Disney's worth in market cap, but two traders are split on whether the stock is a buy",apple,apple lose disney worth market cap two trader split whether stock buy,0.3
7,"WWDC 2021 Announced For June: Expect Apple’s Big Clues For iPhone 13, Mac Or... AR Glasses",apple,wwdc announce june expect apple big clue iphone mac ar glass,0.0
8,How to Check Apple Magic Keyboard Battery Level in macOS,apple,check apple magic keyboard battery level macos,0.5
9,Apple loses bid to stop Swatch using Jobs's 'one more thing' cue,apple,apple loses bid stop swatch use job one thing cue,-0.3
10,OnePlus 9 Pro vs. iPhone 12 Pro: Which flagship wins?,apple,oneplus pro v iphone pro flagship win,0.8
11,Apple backs start-up aiming to disrupt music labels,apple,apple back start aim disrupt music label,0.0
12,Apple Is Building a Massive Battery Storage Project Using Tesla Megapack Batteries,apple,apple building massive battery storage project use tesla megapack battery,0.0
13,"'Fantasian,' from the creator of Final Fantasy, arrives on Apple Arcade",apple,fantasian creator final fantasy arrives apple arcade,0.0
14,How to best configure an M1-powered Mac for general office duty,apple,best configure power mac general office duty,0.525
15,Apple expands free professional learning to help teachers champion creativity,apple,apple expands free professional learn help teacher champion creativity,0.25
16,Apple Options Traders See Upside Ahead,apple,apple option trader see upside ahead,0.0
17,Talking Apple: Will WWDC finally fix the iPad?,apple,talk apple wwdc finally fix ipad,0.0
18,Apple Seeds Sixth Betas of iOS 14.5 and iPadOS 14.5 to Developers [Update: Public Beta Available],apple,apple seed sixth beta io ipados developer update public beta available,0.2
19,Best iPhone 12 mini deals of April 2021,apple,best iphone mini deal april,1.0
20,2 More Reasons To Buy Apple Stock On The Dip,apple,reason buy apple stock dip,0.0
21,Report: Apple and Google Continue Taking Telemetry Data Even When Users Opt Out,apple,report apple google continue take telemetry data even user opt,0.0
22,Apple warns Chinese apps not to dodge its new privacy rules,apple,apple warns chinese apps not dodge new privacy rule,0.06818181818181818
23,MacBook Pro 2021 with M2 chip just leaked — here's when it's coming,apple,macbook pro chip leak come,0.0
24,Why all Apple announcements should be virtual,apple,apple announcement virtual,0.0
25,Apple WWDC 2021 date unveiled — here's when we'll see the iPhone 13's software,apple,apple wwdc date unveiled see iphone software,0.0
